URL,Image Link,Title,Author,Date,Location,Description
https://www.ndtv.com/india-news/were-firm-on-demand-for-maharashtra-minister-nawab-maliks-resignation-bjp-leader-2798800,https://c.ndtvimg.com/2022-01/vka8c0co_devendra-fadnavis_120x90_28_January_22.jpg,"""We're Firm On Demand For Maharashtra Minister's Resignation"": BJP Leader",Press Trust of India," Wednesday March 02, 2022", Mumbai,"Senior BJP leader Devendra Fadnavis on Wednesday said his party is firm on its demand for the resignation of state minister Nawab Malik, who has been arrested by the Enforcement Directorate in connection with a money laundering case."
https://www.ndtv.com/india-news/as-kashmir-school-reopens-after-31-months-some-children-say-cant-recognise-friends-2798797,https://c.ndtvimg.com/2022-03/a02745eo_kashmir-school-reopening_120x90_02_March_22.jpg,"As Kashmir School Reopens After 31 Months, Some Children Say Can't Recognise Friends",Nazir Masoodi," Wednesday March 02, 2022", Srinagar,"The education of children has been the biggest causality of conflict in Kashmir. The frequent shutting down of classes by separatists, and curfews and restrictions by the authorities in the last three decades has adversely impacted learning."
https://www.ndtv.com/india-news/russian-ambassador-designate-to-india-says-us-is-dictator-in-velvet-gloves-2798726,https://c.ndtvimg.com/2020-02/4pajhung_russian-s400-missilereuters240_120x90_05_February_20.jpg,Russia Sees No Issue With S-400 Missile Supply To India Despite Sanctions,Asian News International," Wednesday March 02, 2022", New Delhi,"Russian Ambassador-designate to India Denis Alipov on Wednesday said that the US is a dictator in velvet gloves, adding that it only aspires for global prominence under the guise of democracy and freedom."
https://www.ndtv.com/india-news/russia-ukraine-war-killed-students-father-responds-to-ministers-study-medicine-abroad-remark-2798707,https://c.ndtvimg.com/2022-03/mmniu2g4_naveen-father-to-ndtv_120x90_02_March_22.jpg,"Killed Student's Father Responds To Minister's ""Study Medicine Abroad"" Remark",Sreeja MS," Wednesday March 02, 2022", New Delhi,"Union Minister Pralhad Joshi's comments on students studying abroad ""after failing to qualify"" in competitive exams in India drew a sharp response from the grieving father of student who was killed in Russian shelling in Ukraine's Kharkiv."
https://www.ndtv.com/pune-news/4-die-of-suffocation-while-cleaning-septic-tank-near-pune-say-police-2798671,https://i.ndtvimg.com/i/2017-08/hospital-generic-file_240x180_51502360464.jpg,"4 Die Of Suffocation While Cleaning Septic Tank Near Pune, Say Police",Press Trust of India," Wednesday March 02, 2022", Pune,"Four persons died of suffocation while cleaning a septic tank in Loni Kalbhor area located on the outskirts of Pune city on Wednesday, police said."
